date,bullish,neutral,bearish,spread
3-1-91,50.0%,18.0%,32.0%,0.18
3-8-91,50.0%,21.0%,29.0%,0.21
3-15-91,55.0%,22.0%,23.0%,0.32
3-22-91,42.0%,31.0%,27.0%,0.15
3-29-91,47.0%,28.0%,25.0%,0.22
4-5-91,58.0%,22.0%,20.0%,0.38
4-12-91,43.0%,32.0%,25.0%,0.18
4-19-91,39.0%,39.0%,22.0%,0.17
4-26-91,55.0%,28.0%,17.0%,0.38
5-3-91,39.0%,33.0%,28.0%,0.11
5-10-91,38.0%,34.0%,28.0%,0.1
5-17-91,42.0%,32.0%,26.0%,0.16
5-24-91,38.0%,39.0%,23.0%,0.15
5-31-91,42.0%,35.0%,23.0%,0.19
6-7-91,46.0%,37.0%,17.0%,0.29
6-14-91,47.0%,31.0%,22.0%,0.25
6-21-91,44.0%,40.0%,16.0%,0.28
6-28-91,28.0%,37.0%,35.0%,-0.07
7-3-91,28.0%,39.0%,33.0%,-0.05
7-12-91,41.0%,39.0%,20.0%,0.21
7-19-91,27.0%,51.0%,22.0%,0.05
7-26-91,35.0%,42.0%,23.0%,0.12
8-2-91,33.0%,36.0%,31.0%,0.02
8-9-91,26.0%,45.0%,29.0%,-0.03
8-16-91,37.0%,33.0%,30.0%,0.07
8-23-91,32.0%,36.0%,32.0%,0
8-30-91,41.0%,40.0%,19.0%,0.22
9-6-91,36.0%,31.0%,33.0%,0.03
9-13-91,43.0%,39.0%,18.0%,0.25
9-20-91,32.0%,48.0%,20.0%,0.12
9-27-91,31.0%,38.0%,31.0%,0
10-4-91,35.0%,30.0%,35.0%,0
10-11-91,39.0%,37.0%,24.0%,0.15
10-18-91,30.0%,31.0%,39.0%,-0.09
10-25-91,31.0%,36.0%,33.0%,-0.02
11-1-91,52.0%,12.0%,36.0%,0.16
11-8-91,32.0%,36.0%,32.0%,0
11-15-91,38.0%,33.0%,29.0%,0.09
11-22-91,48.0%,32.0%,20.0%,0.28
11-27-91,33.0%,27.0%,40.0%,-0.07
12-6-91,23.0%,32.0%,45.0%,-0.22
12-13-91,33.0%,36.0%,31.0%,0.02
12-20-91,36.0%,30.0%,34.0%,0.02
12-27-91,39.0%,29.0%,32.0%,0.07
1-3-92,49.0%,20.0%,31.0%,0.18
1-10-92,48.0%,27.0%,25.0%,0.23
1-17-92,51.0%,21.0%,28.0%,0.23
1-24-92,46.0%,25.0%,29.0%,0.17
1-31-92,47.0%,26.0%,27.0%,0.2
2-7-92,36.0%,39.0%,25.0%,0.11
2-14-92,46.0%,28.0%,26.0%,0.2
2-21-92,47.0%,25.0%,28.0%,0.19
2-28-92,43.0%,36.0%,21.0%,0.22
3-6-92,45.0%,29.0%,26.0%,0.19
3-13-92,38.0%,35.0%,27.0%,0.11
3-20-92,48.0%,29.0%,23.0%,0.25
3-27-92,43.0%,35.0%,22.0%,0.21
4-3-92,35.0%,42.0%,23.0%,0.12
4-10-92,43.0%,27.0%,30.0%,0.13
4-17-92,37.0%,38.0%,25.0%,0.12
4-24-92,52.0%,34.0%,14.0%,0.38
5-1-92,29.0%,36.0%,35.0%,-0.06
5-8-92,43.0%,31.0%,26.0%,0.17
5-15-92,40.0%,37.0%,23.0%,0.17
5-22-92,48.0%,24.0%,28.0%,0.2
5-29-92,41.0%,43.0%,16.0%,0.25
6-5-92,41.0%,40.0%,19.0%,0.22
6-12-92,31.0%,46.0%,23.0%,0.08
6-19-92,35.0%,37.0%,28.0%,0.07
6-26-92,39.0%,34.0%,27.0%,0.12
7-2-92,21.0%,44.0%,35.0%,-0.14
7-9-92,23.0%,42.0%,35.0%,-0.12
7-17-92,29.0%,40.0%,31.0%,-0.02
7-24-92,32.0%,44.0%,24.0%,0.08
7-31-92,22.0%,47.0%,31.0%,-0.09
8-5-92,28.0%,39.0%,33.0%,-0.05
8-14-92,26.0%,37.0%,37.0%,-0.11
8-21-92,22.0%,34.0%,44.0%,-0.22
8-28-92,30.0%,37.0%,33.0%,-0.03
9-4-92,14.0%,44.0%,42.0%,-0.28
9-11-92,22.0%,39.0%,39.0%,-0.17
9-18-92,21.0%,42.0%,37.0%,-0.16
9-25-92,25.0%,34.0%,41.0%,-0.16
10-2-92,30.0%,35.0%,35.0%,-0.05
10-9-92,21.0%,35.0%,44.0%,-0.23
10-16-92,20.0%,24.0%,56.0%,-0.36
10-23-92,21.0%,32.0%,47.0%,-0.26
10-30-92,35.0%,35.0%,30.0%,0.05
11-6-92,49.0%,27.0%,24.0%,0.25
11-13-92,37.0%,44.0%,19.0%,0.18
11-20-92,48.0%,38.0%,14.0%,0.34
11-25-92,43.0%,37.0%,20.0%,0.23
12-4-92,37.0%,39.0%,24.0%,0.13
12-11-92,43.0%,42.0%,15.0%,0.28
12-18-92,63.0%,27.0%,10.0%,0.53
