date,bullish,neutral,bearish,spread
5-29-08,31.36%,22.88%,45.76%,-0.144
6-5-08,43.48%,18.48%,38.04%,0.0544
6-12-08,31.25%,15.18%,53.57%,-0.2232
6-19-08,32.98%,21.28%,45.74%,-0.1276
6-26-08,31.25%,16.48%,52.27%,-0.2102
7-3-08,23.93%,23.93%,52.14%,-0.2821
7-10-08,22.17%,22.66%,55.17%,-0.33
7-17-08,25.00%,16.86%,58.14%,-0.3314
7-24-08,35.82%,20.14%,44.03%,-0.0821
7-31-08,40.00%,18.82%,41.18%,-0.0118
8-7-08,35.61%,21.97%,42.42%,-0.0681
8-14-08,42.86%,18.18%,38.96%,0.039
8-21-08,38.10%,24.60%,37.30%,0.008
8-28-08,30.68%,23.86%,45.45%,-0.1477
9-4-08,37.04%,19.75%,43.21%,-0.0617
9-11-08,29.27%,15.85%,54.88%,-0.2561
9-18-08,27.21%,18.37%,54.42%,-0.2721
9-25-08,34.04%,20.21%,45.74%,-0.117
10-2-08,33.33%,11.67%,55.00%,-0.2167
10-9-08,31.47%,7.69%,60.84%,-0.2937
10-16-08,40.94%,19.30%,39.77%,0.0117
10-23-08,38.74%,22.52%,38.74%,0
10-30-08,37.14%,22.29%,40.57%,-0.0343
11-6-08,44.83%,21.84%,33.33%,0.115
11-13-08,38.33%,19.17%,42.50%,-0.0417
11-20-08,24.37%,18.49%,57.14%,-0.3277
11-27-08,31.25%,23.86%,44.89%,-0.1364
12-4-08,26.67%,25.56%,47.78%,-0.2111
12-11-08,37.50%,22.66%,39.84%,-0.0234
12-18-08,39.73%,24.66%,35.62%,0.0411
12-25-08,28.95%,27.19%,43.86%,-0.1491
1-1-09,24.00%,21.33%,54.67%,-0.3067
1-8-09,48.70%,16.23%,35.06%,0.1364
1-15-09,27.63%,25.00%,47.37%,-0.1974
1-22-09,27.21%,26.47%,46.32%,-0.1911
1-29-09,25.27%,27.47%,47.25%,-0.2198
2-5-09,24.63%,31.34%,44.03%,-0.194
2-12-09,32.91%,27.85%,39.24%,-0.0633
2-19-09,21.64%,21.64%,56.72%,-0.3508
2-26-09,24.30%,20.56%,55.14%,-0.3084
3-5-09,18.92%,10.81%,70.27%,-0.5135
3-12-09,27.64%,17.89%,54.47%,-0.2683
3-19-09,45.06%,16.67%,38.27%,0.0679
3-26-09,39.13%,18.48%,42.39%,-0.0326
4-2-09,42.66%,20.28%,37.06%,0.056
4-9-09,35.71%,20.00%,44.29%,-0.0858
4-16-09,44.14%,20.00%,35.86%,0.0828
4-23-09,31.82%,29.55%,38.64%,-0.0682
4-30-09,36.09%,20.30%,43.61%,-0.0752
5-7-09,44.09%,22.58%,33.33%,0.1076
5-14-09,43.81%,20.95%,35.24%,0.0857
5-21-09,33.72%,20.93%,45.35%,-0.1163
5-28-09,40.37%,11.01%,48.62%,-0.0825
6-4-09,47.56%,15.85%,36.59%,0.1097
6-11-09,39.25%,21.50%,39.25%,0
6-18-09,33.33%,20.24%,46.43%,-0.131
6-25-09,28.00%,23.20%,48.80%,-0.208
7-2-09,37.84%,17.57%,44.59%,-0.0675
7-9-09,27.91%,17.44%,54.65%,-0.2674
7-16-09,28.68%,24.26%,47.06%,-0.1838
7-23-09,37.60%,20.00%,42.40%,-0.048
7-30-09,47.67%,20.93%,31.40%,0.1627
8-6-09,50.00%,14.84%,35.16%,0.1484
8-13-09,51.00%,16.00%,33.00%,0.18
8-20-09,34.07%,25.93%,40.00%,-0.0593
8-27-09,33.98%,17.48%,48.54%,-0.1456
9-3-09,37.97%,24.05%,37.97%,0
9-10-09,37.33%,18.67%,44.00%,-0.0667
9-17-09,42.14%,17.86%,40.00%,0.0214
9-24-09,39.09%,16.36%,44.55%,-0.0546
10-1-09,43.55%,20.97%,35.48%,0.0807
10-8-09,35.09%,23.68%,41.23%,-0.0614
10-15-09,47.30%,18.92%,33.78%,0.1352
10-22-09,40.48%,23.81%,35.71%,0.0477
10-29-09,33.65%,24.04%,42.31%,-0.0866
11-5-09,22.22%,22.22%,55.56%,-0.3334
11-12-09,38.60%,22.80%,38.60%,0
11-19-09,42.73%,25.45%,31.82%,0.1091
11-26-09,41.66%,16.66%,41.66%,0
12-3-09,41.58%,24.75%,33.66%,0.0792
12-10-09,42.68%,21.95%,35.37%,0.0731
12-17-09,42.11%,29.47%,28.42%,0.1369
12-24-09,37.68%,24.64%,37.68%,0
12-31-09,49.18%,27.87%,22.95%,0.2623
1-7-10,41.00%,33.00%,26.00%,0.15
1-14-10,47.44%,25.64%,26.92%,0.2052
1-21-10,40.00%,25.26%,34.74%,0.0526
1-28-10,35.00%,28.33%,36.67%,-0.0167
2-4-10,29.23%,27.69%,43.08%,-0.1385
2-11-10,36.75%,21.37%,41.88%,-0.0513
2-18-10,35.85%,28.93%,35.22%,0.0063
2-25-10,34.89%,35.57%,29.53%,0.0536
3-4-10,35.86%,37.93%,26.21%,0.0965
3-11-10,45.29%,29.41%,25.29%,0.2
3-18-10,35.37%,34.76%,29.88%,0.0549
3-25-10,32.39%,32.95%,34.66%,-0.0227
4-1-10,41.30%,27.54%,31.16%,0.1014
4-8-10,42.86%,26.79%,30.36%,0.125
4-15-10,48.48%,21.82%,29.70%,0.1878
4-22-10,38.12%,27.62%,34.25%,0.0387
4-29-10,41.36%,30.00%,28.64%,0.1272
5-6-10,39.13%,32.30%,28.57%,0.1056
5-13-10,36.60%,26.80%,36.60%,0
5-20-10,41.30%,25.00%,33.70%,0.076
5-27-10,29.83%,19.30%,50.88%,-0.2105
6-3-10,37.09%,22.07%,40.85%,-0.0376
6-10-10,34.48%,22.41%,43.10%,-0.0862
6-17-10,42.45%,26.89%,30.66%,0.1179
6-24-10,34.46%,33.11%,32.43%,0.0203
7-1-10,24.68%,33.33%,41.99%,-0.1731
7-8-10,20.94%,21.99%,57.07%,-0.3613
7-15-10,39.37%,22.84%,37.80%,0.0157
7-22-10,32.16%,22.81%,45.03%,-0.1287
7-29-10,40.00%,26.67%,33.33%,0.0667
8-5-10,30.39%,31.37%,38.24%,-0.0785
8-12-10,39.76%,30.12%,30.12%,0.0964
8-19-10,30.11%,27.42%,42.47%,-0.1236
8-26-10,20.74%,29.79%,49.47%,-0.2873
9-2-10,30.80%,27.00%,42.21%,-0.1141
9-9-10,43.87%,24.51%,31.61%,0.1226
9-16-10,50.89%,24.85%,24.26%,0.2663
9-23-10,44.97%,29.63%,25.40%,0.1957
9-30-10,42.53%,25.86%,31.61%,0.1092
10-7-10,49.03%,23.23%,27.74%,0.2129
10-14-10,47.10%,26.09%,26.81%,0.2029
10-21-10,49.62%,25.19%,25.19%,0.2443
10-28-10,51.23%,27.16%,21.60%,0.2963
11-4-10,48.23%,21.99%,29.79%,0.1844
11-11-10,57.56%,13.95%,28.49%,0.2907
11-18-10,40.00%,27.50%,32.50%,0.075
11-25-10,47.40%,27.92%,24.68%,0.2272
12-2-10,49.66%,24.14%,26.21%,0.2345
12-9-10,53.05%,24.39%,22.56%,0.3049
12-16-10,50.23%,22.62%,27.15%,0.2308
12-23-10,63.28%,20.31%,16.40%,0.4688
12-30-10,51.61%,28.34%,20.05%,0.3156
1-6-11,55.88%,25.86%,18.25%,0.3763
1-13-11,52.34%,24.22%,23.44%,0.289
1-20-11,50.75%,20.15%,29.10%,0.2165
1-27-11,42.04%,23.67%,34.29%,0.0775
2-3-11,51.54%,21.59%,26.87%,0.2467
2-10-11,49.40%,23.69%,26.91%,0.2249
2-17-11,46.58%,27.85%,25.57%,0.2101
2-24-11,36.63%,27.23%,36.14%,0.0049
3-3-11,36.79%,30.05%,33.16%,0.0363
3-10-11,35.97%,31.71%,32.32%,0.0365
3-17-11,28.49%,31.39%,40.12%,-0.1163
3-24-11,37.74%,27.27%,34.97%,0.0277
3-31-11,41.81%,27.12%,31.07%,0.1074
4-7-11,43.59%,27.56%,28.85%,0.1474
4-14-11,42.25%,26.76%,30.99%,0.1126
4-21-11,32.16%,36.84%,30.99%,0.0117
4-28-11,37.90%,31.45%,30.65%,0.0725
5-5-11,35.46%,32.67%,31.87%,0.0359
5-12-11,30.77%,33.73%,35.50%,-0.0473
5-19-11,26.69%,32.02%,41.29%,-0.146
5-26-11,25.61%,32.97%,41.42%,-0.1581
6-2-11,30.18%,36.39%,33.43%,-0.0325
6-9-11,24.42%,27.91%,47.67%,-0.2325
6-16-11,29.00%,28.25%,42.75%,-0.1375
6-23-11,37.46%,26.80%,35.74%,0.0172
6-30-11,38.31%,31.49%,30.19%,0.0812
7-7-11,41.77%,33.54%,24.68%,0.1709
7-14-11,39.31%,31.45%,29.25%,0.1006
7-21-11,39.86%,29.54%,30.61%,0.0925
7-28-11,37.84%,30.74%,31.42%,0.0642
8-4-11,27.16%,22.99%,49.85%,-0.2269
8-11-11,33.43%,21.79%,44.78%,-0.1135
8-18-11,35.56%,24.62%,39.82%,-0.0426
8-25-11,36.44%,22.60%,40.96%,-0.0452
9-1-11,38.62%,29.04%,32.34%,0.0628
9-8-11,30.22%,29.50%,40.29%,-0.1007
9-15-11,30.50%,28.15%,41.35%,-0.1085
9-22-11,25.33%,26.67%,48.00%,-0.2267
9-29-11,32.51%,20.68%,46.79%,-0.1428
10-6-11,35.23%,19.04%,45.71%,-0.1048
10-13-11,39.77%,23.86%,36.36%,0.0341
10-20-11,35.98%,29.41%,34.60%,0.0138
10-27-11,43.00%,32.00%,25.00%,0.18
11-3-11,40.18%,30.20%,29.62%,0.1056
11-10-11,44.73%,30.70%,24.56%,0.2017
11-17-11,41.93%,27.01%,31.04%,0.1089
11-24-11,32.71%,29.01%,38.27%,-0.0556
12-1-11,33.04%,27.53%,39.42%,-0.0638
12-8-11,38.57%,26.66%,34.76%,0.0381
12-15-11,40.18%,26.16%,33.64%,0.0654
12-22-11,33.73%,38.04%,28.24%,0.0549
12-29-11,40.60%,28.57%,30.83%,0.09773
1-5-12,48.88%,33.95%,17.16%,0.3172
1-12-12,49.14%,33.68%,17.18%,0.3196
1-19-12,47.23%,29.15%,23.61%,0.2362
1-26-12,48.40%,32.69%,18.91%,0.294874
2-2-12,43.81%,31.12%,25.08%,0.18731
2-9-12,51.64%,28.17%,20.19%,0.31456
2-16-12,42.71%,30.65%,26.63%,0.1608
2-23-12,43.69%,28.80%,27.51%,0.16181
3-1-12,44.51%,28.66%,26.83%,0.17683
3-8-12,42.38%,28.62%,29.00%,0.13383
3-15-12,45.61%,27.20%,27.20%,0.1841
3-22-12,42.38%,29.80%,27.81%,0.145695
3-29-12,42.47%,32.05%,25.48%,0.1699
4-5-12,38.17%,34.02%,27.80%,0.103735
4-12-12,28.14%,30.30%,41.56%,-0.134199
4-19-12,31.18%,34.98%,33.84%,-0.026616
4-26-12,27.64%,34.96%,37.40%,-0.097561
5-3-12,35.40%,36.13%,28.47%,0.069343
5-10-12,25.40%,32.54%,42.06%,-0.166667
5-17-12,23.58%,30.45%,45.97%,-0.22388
5-24-12,30.47%,30.86%,38.67%,-0.082031
5-31-12,28.02%,29.96%,42.02%,-0.140077
6-7-12,27.45%,26.80%,45.75%,-0.183006
6-14-12,34.04%,30.18%,35.79%,-0.017544
6-21-12,32.89%,31.23%,35.88%,-0.0299
6-28-12,28.67%,26.96%,44.37%,-0.156997
7-5-12,32.64%,34.03%,33.33%,-0.0069
7-12-12,30.23%,35.05%,34.73%,-0.045016
7-19-12,22.19%,36.02%,41.79%,-0.195967
7-26-12,28.12%,28.75%,43.13%,-0.15016
8-2-12,30.45%,34.63%,34.93%,-0.044776
8-9-12,36.47%,36.18%,27.35%,0.091177
8-16-12,36.84%,35.09%,28.07%,0.087719
8-23-12,41.96%,32.17%,25.87%,0.160839
8-30-12,34.72%,32.64%,32.64%,0.020833
9-6-12,33.06%,33.88%,33.06%,0
9-13-12,36.46%,30.56%,32.99%,0.034722
9-20-12,37.50%,28.72%,33.78%,0.037162
9-27-12,36.10%,27.44%,36.46%,-0.00361
10-4-12,33.86%,32.91%,33.23%,0.00633
10-11-12,30.58%,30.58%,38.85%,-0.082734
10-18-12,28.66%,26.79%,44.55%,-0.158879
10-25-12,29.25%,27.67%,43.08%,-0.138365
11-1-12,35.74%,23.28%,40.98%,-0.052459
11-8-12,38.50%,21.60%,39.91%,-0.014084
11-15-12,28.82%,22.35%,48.82%,-0.2
11-22-12,35.82%,23.40%,40.78%,-0.049645
11-28-12,40.93%,24.71%,34.36%,0.065637
12-6-12,42.22%,23.17%,34.60%,0.07619
12-13-12,43.23%,26.69%,30.08%,0.131579
12-20-12,46.40%,28.80%,24.80%,0.216
12-27-12,44.40%,25.37%,30.22%,0.141791
1-3-13,38.71%,25.09%,36.20%,0.02509
1-10-13,46.45%,26.63%,26.92%,0.195266
1-17-13,43.94%,28.73%,27.32%,0.166198
1-24-13,52.34%,23.39%,24.27%,0.280702
1-31-13,48.04%,27.65%,24.30%,0.23743
2-7-13,42.77%,27.67%,29.56%,0.132076
2-14-13,42.25%,29.01%,28.73%,0.135211
2-21-13,41.79%,25.71%,32.50%,0.092857
2-28-13,28.39%,35.02%,36.59%,-0.082019
3-7-13,31.06%,30.43%,38.51%,-0.074534
3-14-13,45.42%,22.55%,32.03%,0.1339
3-21-13,38.94%,27.72%,33.33%,0.056106
3-28-13,38.40%,32.95%,28.65%,0.097421
4-4-13,35.49%,36.34%,28.17%,0.07324
4-11-13,19.31%,26.21%,54.48%,-0.351725
4-18-13,26.85%,24.93%,48.22%,-0.213699
4-25-13,28.29%,32.89%,38.82%,-0.105263
5-2-13,30.99%,33.10%,35.92%,-0.049296
5-9-13,40.79%,31.77%,27.44%,0.133574
5-16-13,38.49%,32.18%,29.34%,0.091483
5-23-13,48.97%,29.45%,21.58%,0.273973
5-30-13,35.97%,34.39%,29.64%,0.063241
6-6-13,29.47%,31.58%,38.95%,-0.094737
6-13-13,32.97%,32.43%,34.59%,-0.016216
6-20-13,37.45%,32.58%,29.96%,0.074907
6-27-13,30.28%,34.56%,35.17%,-0.04893
7-4-13,41.99%,34.16%,23.84%,0.181495
7-11-13,48.94%,32.77%,18.30%,0.306383
7-18-13,47.74%,31.01%,21.25%,0.264808
7-25-13,45.12%,32.32%,22.56%,0.225589
8-1-13,35.62%,39.38%,25.00%,0.106164
8-8-13,39.50%,33.86%,26.65%,0.128526
8-15-13,34.51%,37.32%,28.17%,0.06338
8-22-13,28.96%,28.19%,42.86%,-0.138996
8-29-13,33.54%,35.71%,30.75%,0.027951
9-5-13,35.53%,33.22%,31.25%,0.0428
9-12-13,45.52%,29.90%,24.58%,0.209303
9-19-13,45.11%,25.19%,29.70%,0.154136
9-26-13,36.05%,33.33%,30.61%,0.054422
10-3-13,37.84%,32.09%,30.07%,0.077702
10-10-13,41.33%,25.09%,33.58%,0.077491
10-17-13,46.28%,28.80%,24.92%,0.213592
10-24-13,49.20%,33.23%,17.57%,0.316294
10-31-13,44.97%,33.56%,21.48%,0.234899
11-7-13,45.48%,32.71%,21.81%,0.23676
11-14-13,39.20%,33.33%,27.47%,0.117284
11-21-13,34.39%,36.13%,29.48%,0.049133
11-28-13,47.30%,24.44%,28.25%,0.190476
12-5-13,42.64%,29.81%,27.55%,0.150943
12-12-13,41.27%,33.73%,25.00%,0.162651
12-19-13,47.46%,27.46%,25.08%,0.223729
12-26-13,55.06%,26.40%,18.54%,0.365169
1-2-14,43.09%,27.64%,29.27%,0.138211
1-9-14,43.62%,31.38%,25.00%,0.18617
1-16-14,38.99%,39.52%,21.49%,0.175066
1-23-14,38.12%,38.12%,23.76%,0.143603
1-30-14,32.18%,35.06%,32.76%,-0.005747
2-6-14,27.90%,35.70%,36.41%,-0.085106
2-13-14,40.15%,32.51%,27.34%,0.128079
2-20-14,42.20%,35.00%,22.80%,0.194
2-27-14,39.69%,39.18%,21.13%,0.185567
3-6-14,40.51%,32.86%,26.63%,0.13881
3-13-14,41.34%,31.84%,26.82%,0.145252
3-20-14,36.78%,37.07%,26.15%,0.106322
3-27-14,31.16%,40.23%,28.61%,0.025496
4-3-14,35.36%,37.86%,26.79%,0.085714
4-10-14,28.48%,37.42%,34.11%,-0.056292
4-17-14,27.22%,38.53%,34.25%,-0.070337
4-24-14,34.50%,39.47%,26.02%,0.084795
5-1-14,29.77%,40.78%,29.45%,0.003237
5-8-14,28.34%,42.99%,28.66%,-0.003185
5-15-14,33.12%,44.27%,22.61%,0.105095
5-22-14,30.43%,43.17%,26.40%,0.040373
5-29-14,36.46%,40.33%,23.20%,0.132597
6-5-14,39.51%,38.27%,22.22%,0.17284
6-12-14,44.69%,34.06%,21.25%,0.234375
6-19-14,35.17%,40.70%,24.13%,0.110465
6-26-14,37.22%,41.69%,21.09%,0.16129
7-3-14,38.51%,39.10%,22.39%,0.161194
7-10-14,37.64%,33.71%,28.65%,0.089887
7-17-14,32.36%,39.16%,28.48%,0.038835
7-24-14,29.63%,40.43%,29.94%,-0.003087
7-31-14,31.12%,37.76%,31.12%,0
8-7-14,30.89%,30.89%,38.23%,-0.073394
8-14-14,39.81%,33.23%,26.96%,0.128527
8-21-14,46.11%,30.24%,23.65%,0.224551
8-28-14,51.92%,28.85%,19.23%,0.326923
9-4-14,44.67%,31.36%,23.96%,0.207101
9-11-14,40.38%,33.01%,26.60%,0.13782
9-18-14,42.24%,34.78%,22.98%,0.192546
9-25-14,41.84%,29.93%,28.23%,0.136054
10-2-14,35.42%,33.68%,30.90%,0.045139
10-9-14,39.88%,29.14%,30.98%,0.088957
10-16-14,42.66%,23.64%,33.70%,0.089673
10-23-14,49.69%,27.81%,22.50%,0.271875
10-30-14,49.37%,29.56%,21.07%,0.283019
11-6-14,52.69%,32.26%,15.05%,0.376344
11-13-14,57.93%,22.76%,19.31%,0.386207
11-20-14,49.12%,27.06%,23.82%,0.252941
11-27-14,52.15%,27.06%,20.79%,0.313531
12-4-14,42.68%,31.38%,25.94%,0.167364
12-11-14,45.02%,32.65%,22.34%,0.226804
12-18-14,38.74%,34.39%,26.88%,0.118577
12-25-14,50.94%,30.19%,18.87%,0.320755
1-1-15,51.74%,28.96%,19.31%,0.324325
1-8-15,41.01%,31.30%,27.70%,0.133094
1-15-15,46.11%,32.40%,21.50%,0.246106
1-22-15,37.14%,32.06%,30.79%,0.063492
1-29-15,44.17%,33.44%,22.39%,0.217792
2-5-15,35.49%,32.08%,32.42%,0.030717
2-12-15,40.00%,39.67%,20.33%,0.196721
2-19-15,47.02%,35.10%,17.88%,0.291391
2-26-15,45.37%,34.33%,20.30%,0.250746
3-5-15,39.80%,36.84%,23.36%,0.164473
3-12-15,31.60%,43.00%,25.41%,0.061889
3-19-15,27.16%,41.36%,31.48%,-0.04321
3-26-15,38.43%,37.19%,24.38%,0.140496
4-2-15,35.40%,32.65%,31.96%,0.034364
4-9-15,28.70%,47.15%,24.15%,0.045558
4-16-15,32.07%,45.15%,22.78%,0.092827
4-23-15,31.47%,45.34%,23.19%,0.082816
4-30-15,30.84%,47.21%,21.95%,0.08885
5-7-15,27.06%,46.10%,26.84%,0.002165
5-14-15,26.74%,46.90%,26.36%,0.003876
5-21-15,25.21%,49.79%,25.00%,0.002119
5-28-15,27.00%,47.86%,25.14%,0.018622
6-4-15,27.34%,48.03%,24.63%,0.027094
6-11-15,20.04%,47.38%,32.58%,-0.125468
6-18-15,25.41%,40.29%,34.30%,-0.08893
6-25-15,35.56%,42.78%,21.67%,0.138889
7-2-15,22.61%,42.30%,35.09%,-0.124756
7-9-15,27.91%,42.92%,29.18%,-0.012685
7-16-15,30.81%,45.95%,23.24%,0.075676
7-23-15,32.54%,41.87%,25.60%,0.0694
7-30-15,21.11%,38.19%,40.70%,-0.19598
8-6-15,24.32%,44.03%,31.66%,-0.073375
8-13-15,30.45%,33.40%,36.15%,-0.056974
8-20-15,26.82%,39.85%,33.33%,-0.065134
8-27-15,32.50%,29.23%,38.27%,-0.057692
9-3-15,32.38%,35.94%,31.67%,0.007117
9-10-15,34.65%,30.34%,35.01%,-0.003591
9-17-15,33.26%,37.60%,29.13%,0.041323
9-24-15,32.12%,39.19%,28.69%,0.034261
10-1-15,28.11%,31.98%,39.92%,-0.118126
10-8-15,37.52%,34.29%,28.19%,0.093333
10-15-15,34.08%,38.78%,27.14%,0.069387
10-22-15,34.77%,41.21%,24.02%,0.107422
10-29-15,40.39%,39.02%,20.59%,0.19804
11-5-15,39.00%,42.40%,18.60%,0.204
11-12-15,34.27%,42.72%,23.00%,0.112676
11-19-15,30.77%,38.68%,30.55%,0.002197
11-26-15,32.36%,41.61%,26.03%,0.06326
12-3-15,29.49%,49.31%,21.20%,0.082949
12-10-15,28.51%,41.61%,29.89%,-0.013794
12-17-15,23.87%,36.75%,39.38%,-0.155132
12-24-15,26.38%,42.13%,31.49%,-0.051124
12-31-15,25.07%,51.31%,23.62%,0.014577
1-7-16,22.17%,39.57%,38.26%,-0.16087
1-14-16,17.90%,36.58%,45.53%,-0.276265
1-21-16,21.52%,29.77%,48.71%,-0.271845
1-28-16,29.75%,30.28%,39.96%,-0.102113
2-4-16,27.55%,37.74%,34.72%,-0.071698
2-11-16,19.24%,32.06%,48.70%,-0.294589
2-18-16,27.56%,34.64%,37.80%,-0.102421
2-25-16,31.19%,37.39%,31.42%,-0.002212
3-3-16,32.02%,38.74%,29.25%,0.027668
3-10-16,37.36%,38.27%,24.37%,0.12984
3-17-16,29.96%,43.18%,26.86%,0.030992
3-24-16,33.78%,42.51%,23.71%,0.100672
3-31-16,27.18%,47.06%,25.76%,0.014199
4-7-16,32.19%,46.35%,21.46%,0.107306
4-14-16,27.85%,47.26%,24.89%,0.029536
4-21-16,33.41%,42.67%,23.92%,0.094828
4-28-16,27.37%,44.03%,28.60%,-0.012345
5-5-16,22.33%,47.33%,30.34%,-0.080097
5-12-16,20.41%,48.30%,31.29%,-0.108843
5-19-16,19.34%,46.56%,34.10%,-0.147583
5-26-16,17.75%,52.86%,29.39%,-0.116371
6-2-16,30.17%,40.78%,29.05%,0.011173
6-9-16,27.83%,44.34%,27.83%,0
6-16-16,25.35%,37.15%,37.50%,-0.121528
6-23-16,21.97%,42.80%,35.23%,-0.132576
6-30-16,28.91%,37.67%,33.42%,-0.045093
7-7-16,31.06%,42.29%,26.65%,0.044053
7-14-16,36.87%,38.71%,24.42%,0.124424
7-21-16,35.43%,37.85%,26.72%,0.087045
7-28-16,31.25%,40.34%,28.41%,0.028409
8-4-16,29.79%,43.44%,26.77%,0.030142
8-11-16,31.29%,41.95%,26.76%,0.045351
8-18-16,35.56%,38.08%,26.36%,0.092051
8-25-16,29.42%,40.94%,29.64%,-0.002132
9-1-16,28.60%,39.87%,31.52%,-0.0292
9-8-16,29.75%,41.77%,28.48%,0.012658
9-15-16,27.94%,36.14%,35.92%,-0.079823
9-22-16,24.83%,36.89%,38.28%,-0.134571
9-29-16,24.00%,38.89%,37.11%,-0.131111
10-6-16,28.79%,43.30%,27.90%,0.008928
10-13-16,25.47%,40.80%,33.73%,-0.082547
10-20-16,23.74%,38.45%,37.82%,-0.140756
10-27-16,24.75%,41.18%,34.07%,-0.093137
11-3-16,23.64%,42.05%,34.32%,-0.106818
11-10-16,38.89%,31.78%,29.33%,0.095556
11-17-16,46.65%,26.77%,26.57%,0.200811
11-24-16,49.89%,28.03%,22.08%,0.278131
12-1-16,43.78%,31.12%,25.10%,0.186747
12-8-16,43.12%,30.39%,26.49%,0.166324
12-15-16,44.66%,23.01%,32.33%,0.123287
12-22-16,44.61%,26.24%,29.15%,0.154519
12-29-16,45.57%,28.69%,25.74%,0.198312
1-5-17,46.20%,28.57%,25.23%,0.209726
1-12-17,43.64%,29.39%,26.97%,0.166667
1-19-17,37.01%,30.32%,32.68%,0.043307
1-26-17,31.58%,34.93%,33.49%,-0.019139
2-2-17,32.80%,33.03%,34.17%,-0.013761
2-9-17,35.80%,36.54%,27.65%,0.081482
2-16-17,33.09%,34.55%,32.36%,0.007273
2-23-17,38.46%,29.23%,32.31%,0.061538
3-2-17,37.91%,26.47%,35.62%,0.022876
3-9-17,30.00%,23.50%,46.50%,-0.165
3-16-17,31.17%,30.13%,38.70%,-0.075325
3-23-17,35.28%,34.22%,30.50%,0.047745
3-30-17,30.22%,32.40%,37.38%,-0.071651
4-6-17,28.30%,32.08%,39.62%,-0.113207
4-13-17,28.97%,33.64%,37.38%,-0.084112
4-20-17,25.71%,35.59%,38.70%,-0.129944
4-27-17,38.05%,30.24%,31.71%,0.063415
5-4-17,38.07%,31.98%,29.95%,0.081219
5-11-17,32.73%,37.05%,30.22%,0.02518
5-18-17,23.85%,41.90%,34.25%,-0.103976
5-25-17,32.86%,37.14%,30.00%,0.028571
6-1-17,26.92%,41.54%,31.54%,-0.046154
6-8-17,35.43%,35.04%,29.53%,0.059055
6-15-17,32.27%,38.25%,29.48%,0.027888
6-22-17,32.65%,38.44%,28.91%,0.037415
6-29-17,29.71%,43.43%,26.86%,0.028572
7-6-17,29.58%,40.56%,29.86%,-0.002817
7-13-17,28.24%,42.13%,29.63%,-0.013889
7-20-17,35.48%,38.71%,25.81%,0.096774
7-27-17,34.46%,41.22%,24.32%,0.101352
8-3-17,36.11%,31.79%,32.10%,0.040123
8-10-17,33.67%,34.00%,32.33%,0.013334
8-17-17,34.17%,33.03%,32.80%,0.013761
8-24-17,28.10%,33.61%,38.29%,-0.101928
8-31-17,25.00%,35.11%,39.89%,-0.148936
9-7-17,29.28%,34.98%,35.74%,-0.064638
9-14-17,41.29%,36.74%,21.97%,0.193182
9-21-17,40.14%,32.65%,27.21%,0.129252
9-28-17,33.33%,37.93%,28.74%,0.045977
10-5-17,35.60%,31.60%,32.80%,0.028
10-12-17,39.77%,33.33%,26.90%,0.128655
10-19-17,37.93%,34.14%,27.93%,0.1
10-26-17,39.64%,27.33%,33.03%,0.066066
11-2-17,45.05%,26.37%,28.57%,0.164835
11-9-17,45.10%,31.82%,23.08%,0.22028
11-16-17,29.35%,35.43%,35.22%,-0.058696
11-23-17,35.49%,35.49%,29.01%,0.064789
11-30-17,35.95%,32.43%,31.62%,0.043243
12-7-17,36.88%,28.90%,34.22%,0.026578
12-14-17,45.00%,26.88%,28.13%,0.16875
12-21-17,50.50%,23.88%,25.62%,0.248756
12-28-17,52.65%,26.72%,20.63%,0.320106
1-4-18,59.75%,24.69%,15.56%,0.441975
1-11-18,48.67%,26.25%,25.07%,0.235989
1-18-18,54.11%,24.50%,21.39%,0.327239
1-25-18,45.45%,30.52%,24.03%,0.214285
2-1-18,44.77%,26.47%,28.76%,0.16013
2-8-18,37.03%,27.96%,35.01%,0.020151
2-15-18,48.52%,30.07%,21.41%,0.271071
2-22-18,44.65%,32.56%,22.79%,0.218605
3-1-18,37.28%,39.31%,23.41%,0.138728
3-8-18,26.40%,45.21%,28.38%,-0.019802
3-15-18,36.84%,41.83%,21.33%,0.155125
3-22-18,33.23%,38.28%,28.49%,0.047478
3-29-18,31.94%,32.73%,35.33%,-0.033932
4-5-18,31.90%,31.47%,36.64%,-0.047413
4-12-18,26.09%,31.16%,42.75%,-0.166666
4-19-18,37.78%,33.00%,29.22%,0.085643
4-26-18,36.91%,37.54%,25.55%,0.113564
5-3-18,28.40%,41.36%,30.25%,-0.018518
5-10-18,33.51%,40.96%,25.53%,0.079787
5-17-18,36.68%,42.74%,20.58%,0.16095
5-24-18,38.56%,36.27%,25.16%,0.133987
5-31-18,35.02%,38.63%,26.35%,0.086643
6-7-18,38.93%,34.35%,26.72%,0.122137
6-14-18,44.78%,33.52%,21.70%,0.230769
6-21-18,38.72%,35.10%,26.18%,0.125349
6-28-18,28.45%,30.75%,40.80%,-0.123563
7-5-18,27.86%,32.87%,39.28%,-0.114206
7-12-18,43.05%,27.80%,29.15%,0.138983
7-19-18,34.66%,40.40%,24.94%,0.097256
7-26-18,31.52%,41.58%,26.90%,0.046195
8-2-18,29.11%,38.81%,32.08%,-0.02965
