caldt,prtnam,totret
1958-09-30,1,0.049296
1958-10-31,1,0.024214
1958-11-28,1,0.026149
1958-12-31,1,0.060545
1959-01-30,1,0.001654
1959-02-27,1,0.004030
1959-03-31,1,0.002662
1959-04-30,1,0.043805
1959-05-29,1,0.027732
1959-06-30,1,-0.003613
1959-07-31,1,0.035629
1959-08-31,1,-0.009359
1959-09-30,1,-0.043318
1959-10-30,1,0.008871
1959-11-30,1,0.018785
1959-12-31,1,0.033939
1960-01-29,1,-0.076073
1960-02-29,1,0.017183
1960-03-31,1,-0.010208
1960-04-29,1,-0.017152
1960-05-31,1,0.034685
1960-06-30,1,0.021556
1960-07-29,1,-0.024026
1960-08-31,1,0.030426
1960-09-30,1,-0.058654
1960-10-31,1,0.001305
1960-11-30,1,0.043497
1960-12-30,1,0.050049
1961-01-31,1,0.058011
1961-02-28,1,0.029241
1961-03-30,1,0.025896
1961-04-28,1,0.005667
1961-05-31,1,0.019208
1961-06-30,1,-0.024670
1961-07-31,1,0.035668
1961-08-31,1,0.024092
1961-09-29,1,-0.016177
1961-10-31,1,0.028087
1961-11-30,1,0.048685
1961-12-29,1,0.005025
1962-01-31,1,-0.045260
1962-02-28,1,0.023620
1962-03-30,1,-0.003898
1962-04-30,1,-0.061290
1962-05-31,1,-0.078846
1962-06-29,1,-0.083259
1962-07-31,1,0.068084
1962-08-31,1,0.020988
1962-09-28,1,-0.045113
1962-10-31,1,0.012649
1962-11-30,1,0.100267
1962-12-31,1,0.019387
1963-01-31,1,0.044942
1963-02-28,1,-0.024322
1963-03-29,1,0.038774
1963-04-30,1,0.050936
1963-05-31,1,0.017123
1963-06-28,1,-0.020503
1963-07-31,1,0.003088
1963-08-30,1,0.052638
1963-09-30,1,-0.008768
1963-10-31,1,0.036553
1963-11-29,1,-0.005440
1963-12-31,1,0.026096
1964-01-31,1,0.031326
1964-02-28,1,0.015501
1964-03-31,1,0.011979
1964-04-30,1,0.008473
1964-05-28,1,0.018002
1964-06-30,1,0.016359
1964-07-31,1,0.016069
1964-08-31,1,-0.012943
1964-09-30,1,0.028022
1964-10-30,1,0.007341
1964-11-30,1,0.003045
1964-12-31,1,0.007366
1965-01-29,1,0.031141
1965-02-26,1,-0.003189
1965-03-31,1,-0.015467
1965-04-30,1,0.034991
1965-05-28,1,-0.003173
1965-06-30,1,-0.040322
1965-07-30,1,0.011784
1965-08-31,1,0.023928
1965-09-30,1,0.032636
1965-10-29,1,0.022519
1965-11-30,1,-0.010429
1965-12-31,1,0.006232
1966-01-31,1,-0.001023
1966-02-28,1,-0.016036
1966-03-31,1,-0.023907
1966-04-29,1,0.020025
1966-05-31,1,-0.042644
1966-06-30,1,-0.015456
1966-07-29,1,-0.012236
1966-08-31,1,-0.067235
1966-09-30,1,-0.002820
1966-10-31,1,0.054240
1966-11-30,1,0.009160
1966-12-30,1,-0.006168
1967-01-31,1,0.069158
1967-02-28,1,0.008156
1967-03-31,1,0.040002
1967-04-28,1,0.044714
1967-05-31,1,-0.051765
1967-06-30,1,0.015094
1967-07-31,1,0.040882
1967-08-31,1,-0.008680
1967-09-29,1,0.035796
1967-10-31,1,-0.017746
1967-11-30,1,0.007761
1967-12-29,1,0.023694
1968-01-31,1,-0.047376
1968-02-29,1,-0.025141
1968-03-29,1,0.012575
1968-04-30,1,0.080319
1968-05-31,1,0.011115
1968-06-28,1,0.008082
1968-07-30,1,-0.015919
1968-08-30,1,0.013226
1968-09-30,1,0.031929
1968-10-31,1,0.007327
1968-11-29,1,0.047910
1968-12-31,1,-0.045230
1969-01-31,1,-0.008495
1969-02-28,1,-0.037594
1969-03-28,1,0.041785
1969-04-30,1,0.024869
1969-05-29,1,0.006993
1969-06-30,1,-0.048265
1969-07-31,1,-0.056772
1969-08-29,1,0.051345
1969-09-30,1,-0.030404
1969-10-31,1,0.041455
1969-11-28,1,-0.025592
1969-12-31,1,-0.010088
1970-01-30,1,-0.081649
1970-02-27,1,0.056311
1970-03-31,1,0.001070
1970-04-30,1,-0.084521
1970-05-29,1,-0.048692
1970-06-30,1,-0.048620
1970-07-31,1,0.073217
1970-08-31,1,0.043745
1970-09-30,1,0.029106
1970-10-30,1,-0.004302
1970-11-30,1,0.055024
1970-12-31,1,0.051674
1971-01-29,1,0.034929
1971-02-26,1,0.011966
1971-03-31,1,0.042048
1971-04-30,1,0.034181
1971-05-28,1,-0.037796
1971-06-30,1,0.007858
1971-07-30,1,-0.038341
1971-08-31,1,0.039557
1971-09-30,1,-0.004288
1971-10-29,1,-0.033024
1971-11-30,1,0.009392
1971-12-31,1,0.080602
1972-01-31,1,0.015576
1972-02-29,1,0.030070
1972-03-30,1,0.012642
1972-04-28,1,0.007444
1972-05-31,1,0.027443
1972-06-30,1,-0.015208
1972-07-31,1,0.009822
1972-08-31,1,0.037070
1972-09-29,1,0.001758
1972-10-31,1,0.014624
1972-11-30,1,0.039833
1972-12-29,1,0.022491
1973-01-31,1,-0.005720
1973-02-28,1,-0.031677
1973-03-30,1,0.002942
1973-04-30,1,-0.038166
1973-05-31,1,-0.006235
1973-06-29,1,0.001060
1973-07-31,1,0.033464
1973-08-31,1,-0.034237
1973-09-28,1,0.028787
1973-10-31,1,0.003770
1973-11-30,1,-0.098674
1973-12-31,1,0.015516
1974-01-31,1,-0.021510
1974-02-28,1,-0.001648
1974-03-29,1,-0.022262
1974-04-30,1,-0.033824
1974-05-31,1,-0.018578
1974-06-28,1,-0.013296
1974-07-31,1,-0.086362
1974-08-30,1,-0.082172
1974-09-30,1,-0.124880
1974-10-31,1,0.175533
1974-11-29,1,-0.047627
1974-12-31,1,-0.018205
1975-01-31,1,0.102559
1975-02-28,1,0.068868
1975-03-31,1,0.016526
