caldt,vwretd,vwretx,usdval,usdcnt
1926-08-12,0.011245,0.011245,16157092.60,84
1926-08-13,0.008941,0.008782,16338775.50,84
1926-08-14,0.006175,0.006175,16432162.40,83
1926-08-16,0.001146,0.000690,16533628.20,83
1926-08-17,-0.011025,-0.011025,16594268.40,84
1926-08-18,0.002670,0.002670,16411318.80,84
1926-08-19,-0.007308,-0.007398,16586617.40,84
1926-08-20,-0.001691,-0.002308,16448891.10,83
1926-08-21,0.003627,0.003627,16410921.50,83
1926-08-23,0.006257,0.006257,16470441.20,83
1926-08-24,-0.009515,-0.009515,16573495.10,83
1926-08-25,-0.003327,-0.003327,16415798.90,83
1926-08-26,0.006277,0.005961,16376308.80,84
1926-08-27,0.003533,0.003194,16473929.90,84
1926-08-28,0.003397,0.003397,16417764.90,83
1926-08-30,0.002494,0.002494,16473539.20,83
1926-08-31,0.008127,0.007200,16623707.00,84
1926-09-01,0.004860,0.004106,16743393.60,84
1926-09-02,0.000077,0.000077,16812142.60,84
1926-09-03,0.007763,0.006938,16813441.10,84
1926-09-07,0.007463,0.007266,16930086.50,84
1926-09-08,-0.006194,-0.006329,17053103.80,84
1926-09-09,0.000578,0.000492,16945180.90,84
1926-09-10,-0.010110,-0.010173,16953520.40,84
1926-09-11,-0.005067,-0.005067,16781060.10,84
1926-09-13,0.000782,0.000722,16696023.30,84
1926-09-14,0.011041,0.011041,16708080.40,84
1926-09-15,-0.002918,-0.003728,16892555.50,84
1926-09-16,-0.000885,-0.000885,16829579.00,84
1926-09-17,-0.009284,-0.009572,16814680.60,84
1926-09-18,0.008449,0.008449,16630101.00,83
1926-09-20,-0.005899,-0.005995,16770604.90,83
1926-09-21,0.004003,0.003878,16749473.20,85
1926-09-22,-0.002042,-0.002042,16758413.20,84
1926-09-23,0.002617,0.002617,16655186.90,83
1926-09-24,0.007508,0.007299,16698773.60,83
1926-09-25,0.002409,0.002409,16947633.90,85
1926-09-27,-0.001923,-0.002020,16988464.00,85
1926-09-28,-0.000015,-0.000015,16896099.40,84
1926-09-29,-0.003615,-0.003615,16895849.40,84
1926-09-30,0.004460,0.003895,16774267.00,83
1926-10-01,0.008863,0.008817,16835120.40,83
1926-10-02,-0.000974,-0.000974,17044807.90,84
1926-10-04,-0.015321,-0.015370,17028206.40,84
1926-10-05,-0.011636,-0.012037,16766479.80,84
1926-10-06,-0.004755,-0.004755,16564669.90,84
1926-10-07,-0.009997,-0.009997,16485911.80,84
1926-10-08,0.006137,0.005966,16321103.20,84
1926-10-09,-0.010681,-0.010681,16418481.00,84
1926-10-11,-0.007048,-0.007226,16243116.70,84
1926-10-13,0.009222,0.009222,16110495.40,83
1926-10-14,0.009533,0.009533,16259060.00,83
1926-10-15,-0.019495,-0.020138,16427256.20,84
1926-10-16,-0.007620,-0.007620,16100653.10,84
