DlyCalDt,INDNO,_NAME_,_LABEL_,COL1
19890816,1000080,DlyTotRet,Daily Total Return on Index,0.002346773
19890817,1000080,DlyTotRet,Daily Total Return on Index,-0.002535354
19890818,1000080,DlyTotRet,Daily Total Return on Index,0.0032224491
19890821,1000080,DlyTotRet,Daily Total Return on Index,-0.012024213
19890822,1000080,DlyTotRet,Daily Total Return on Index,0.0002072799
19890823,1000080,DlyTotRet,Daily Total Return on Index,0.0088310664
19890824,1000080,DlyTotRet,Daily Total Return on Index,0.0165801643
19890825,1000080,DlyTotRet,Daily Total Return on Index,-0.001291684
19890828,1000080,DlyTotRet,Daily Total Return on Index,0.0031750631
19890829,1000080,DlyTotRet,Daily Total Return on Index,-0.004273395
19890830,1000080,DlyTotRet,Daily Total Return on Index,0.0027221948
19890831,1000080,DlyTotRet,Daily Total Return on Index,0.0016121189
19890901,1000080,DlyTotRet,Daily Total Return on Index,0.0058034913
19890905,1000080,DlyTotRet,Daily Total Return on Index,-0.001869547
19890906,1000080,DlyTotRet,Daily Total Return on Index,-0.007778941
19890907,1000080,DlyTotRet,Daily Total Return on Index,-0.001569358
19890908,1000080,DlyTotRet,Daily Total Return on Index,0.0010553341
19890911,1000080,DlyTotRet,Daily Total Return on Index,-0.002690539
19890912,1000080,DlyTotRet,Daily Total Return on Index,0.0034001329
19890913,1000080,DlyTotRet,Daily Total Return on Index,-0.007102571
19890914,1000080,DlyTotRet,Daily Total Return on Index,-0.006953793
19890915,1000080,DlyTotRet,Daily Total Return on Index,0.002028248
19890918,1000080,DlyTotRet,Daily Total Return on Index,0.0035895832
19890919,1000080,DlyTotRet,Daily Total Return on Index,0.0008793424
19890920,1000080,DlyTotRet,Daily Total Return on Index,-0.000340786
19890921,1000080,DlyTotRet,Daily Total Return on Index,-0.000808623
19890922,1000080,DlyTotRet,Daily Total Return on Index,0.0028685034
19890925,1000080,DlyTotRet,Daily Total Return on Index,-0.006342862
19890926,1000080,DlyTotRet,Daily Total Return on Index,0.0015775981
19890927,1000080,DlyTotRet,Daily Total Return on Index,0.0012836995
19890928,1000080,DlyTotRet,Daily Total Return on Index,0.0088633394
19890929,1000080,DlyTotRet,Daily Total Return on Index,0.0027583485
19891002,1000080,DlyTotRet,Daily Total Return on Index,0.004611015
19891003,1000080,DlyTotRet,Daily Total Return on Index,0.0096594559
19891004,1000080,DlyTotRet,Daily Total Return on Index,0.0054551038
19891005,1000080,DlyTotRet,Daily Total Return on Index,0.0007700374
19891006,1000080,DlyTotRet,Daily Total Return on Index,0.0049641884
19891009,1000080,DlyTotRet,Daily Total Return on Index,0.0022497199
19891010,1000080,DlyTotRet,Daily Total Return on Index,-0.0015514
19891011,1000080,DlyTotRet,Daily Total Return on Index,-0.005703543
19891012,1000080,DlyTotRet,Daily Total Return on Index,-0.003664148
19891013,1000080,DlyTotRet,Daily Total Return on Index,-0.053404952
19891016,1000080,DlyTotRet,Daily Total Return on Index,0.0161309406
19891017,1000080,DlyTotRet,Daily Total Return on Index,-0.003915818
19891018,1000080,DlyTotRet,Daily Total Return on Index,0.0028555995
19891019,1000080,DlyTotRet,Daily Total Return on Index,0.0152115219
19891020,1000080,DlyTotRet,Daily Total Return on Index,-0.000384858
19891023,1000080,DlyTotRet,Daily Total Return on Index,-0.006404842
19891024,1000080,DlyTotRet,Daily Total Return on Index,-0.005111525
19891025,1000080,DlyTotRet,Daily Total Return on Index,-0.002363093
19891026,1000080,DlyTotRet,Daily Total Return on Index,-0.010964978
19891027,1000080,DlyTotRet,Daily Total Return on Index,-0.009055732
19891030,1000080,DlyTotRet,Daily Total Return on Index,-0.000207963
19891031,1000080,DlyTotRet,Daily Total Return on Index,0.0132367281
19891101,1000080,DlyTotRet,Daily Total Return on Index,0.0033166384
19891102,1000080,DlyTotRet,Daily Total Return on Index,-0.005966164
19891103,1000080,DlyTotRet,Daily Total Return on Index,-0.001556162
19891106,1000080,DlyTotRet,Daily Total Return on Index,-0.012811482
19891107,1000080,DlyTotRet,Daily Total Return on Index,0.0051077884
19891108,1000080,DlyTotRet,Daily Total Return on Index,0.009642865
19891109,1000080,DlyTotRet,Daily Total Return on Index,-0.002825705
19891110,1000080,DlyTotRet,Daily Total Return on Index,0.0060816923
19891113,1000080,DlyTotRet,Daily Total Return on Index,0.0019164391
19891114,1000080,DlyTotRet,Daily Total Return on Index,-0.004108466
19891115,1000080,DlyTotRet,Daily Total Return on Index,0.0060374159
19891116,1000080,DlyTotRet,Daily Total Return on Index,0.0004064361
19891117,1000080,DlyTotRet,Daily Total Return on Index,0.0031312659
19891120,1000080,DlyTotRet,Daily Total Return on Index,-0.00580181
19891121,1000080,DlyTotRet,Daily Total Return on Index,-0.000513688
19891122,1000080,DlyTotRet,Daily Total Return on Index,0.005433732
19891124,1000080,DlyTotRet,Daily Total Return on Index,0.0057999839
19891127,1000080,DlyTotRet,Daily Total Return on Index,0.0038353513
19891128,1000080,DlyTotRet,Daily Total Return on Index,0.001217495
19891129,1000080,DlyTotRet,Daily Total Return on Index,-0.004925702
19891130,1000080,DlyTotRet,Daily Total Return on Index,0.004619172
19891201,1000080,DlyTotRet,Daily Total Return on Index,0.0106103939
19891204,1000080,DlyTotRet,Daily Total Return on Index,0.0025563731
19891205,1000080,DlyTotRet,Daily Total Return on Index,-0.003209958
19891206,1000080,DlyTotRet,Daily Total Return on Index,-0.002462255
19891207,1000080,DlyTotRet,Daily Total Return on Index,-0.001890186
19891208,1000080,DlyTotRet,Daily Total Return on Index,0.001980169
19891211,1000080,DlyTotRet,Daily Total Return on Index,-0.001051856
19891212,1000080,DlyTotRet,Daily Total Return on Index,0.0064289267
19891213,1000080,DlyTotRet,Daily Total Return on Index,0.002915941
19891214,1000080,DlyTotRet,Daily Total Return on Index,-0.005132958
19891215,1000080,DlyTotRet,Daily Total Return on Index,-0.003452696
19891218,1000080,DlyTotRet,Daily Total Return on Index,-0.016628953
19891219,1000080,DlyTotRet,Daily Total Return on Index,-0.004108998
19891220,1000080,DlyTotRet,Daily Total Return on Index,0.0013869064
19891221,1000080,DlyTotRet,Daily Total Return on Index,0.0054709014
19891222,1000080,DlyTotRet,Daily Total Return on Index,0.0080515336
19891226,1000080,DlyTotRet,Daily Total Return on Index,-0.000510096
19891227,1000080,DlyTotRet,Daily Total Return on Index,0.0051150796
19891228,1000080,DlyTotRet,Daily Total Return on Index,0.0046324096
19891229,1000080,DlyTotRet,Daily Total Return on Index,0.0079017577
19900102,1000080,DlyTotRet,Daily Total Return on Index,0.0144328634
19900103,1000080,DlyTotRet,Daily Total Return on Index,0.0000216628
19900104,1000080,DlyTotRet,Daily Total Return on Index,-0.006486202
19900105,1000080,DlyTotRet,Daily Total Return on Index,-0.007631109
19900108,1000080,DlyTotRet,Daily Total Return on Index,0.0030749334
19900109,1000080,DlyTotRet,Daily Total Return on Index,-0.009268897
19900110,1000080,DlyTotRet,Daily Total Return on Index,-0.006843593
19900111,1000080,DlyTotRet,Daily Total Return on Index,0.0026192957
